Date,Stock,Qty,UnitPrice,Amt,Type,Notes
2012-06-15,SBI,,,1225,DIV,
2012-06-01,L&T,5,0,,,4: 1 BONUS
2012-06-01,L&T,20,1138,22760,X,
2012-05-15,ASHOK,300,26,7800,,
2012-05-15,HDFCBANK,30,505,15150,X,
2012-05-12,ASHOK,500,28.2,14100,,
2012-05-01,HDFCBANK,20,519.9,10398,X,
2012-05-01,HINDAL,200,113,22600,~100 Pending,
2012-03-27,ONGC,50,266.5,13325,,
2012-03-27,VOLTAS,100,114,11400,X,
2012-03-19,BHEL,,,272,DIV,
2012-03-12,TATA MOTORS,10,290,2900,SOLD,
2012-03-06,SAIL,,,450,DIV,
2012-02-23,POWERGRID,,,56,DIV,
2012-02-14,CROM GREAVES,,,40,DIV,
2012-02-09,NTPC,,,620,DIV,
2012-02-01,LIC,25,270,6750,SOLD,
2012-02-01,TATA MOTORS,50,251,12550,SOLD,
2012-01-01,IDFC Infra ,5000,4,20000,,
2011-12-01,L&T,10,1193.3,11933,X,
2011-11-08,HIND ZINC,,,570,DIV,
2011-11-04,CROM GREAVES,,,160,DIV,
2011-11-11,LIC,50,238,11900,SOLD,
2011-10-01,BHEL,50,320,16000,,
2011-10-25,ALOK,,,437.5,DIV,
2011-10-13,SAIL,,,270,DIV,
2011-10-07,POWERG,,,88,DIV,
2011-10-01,BHEL,,,179,DIV,
2011-09-27,HINDAL,,,180,DIV,
2011-09-26,NTPC,,,142,DIV,
2011-09-14,Maruti,,,150,DIV,
2011-09-01,TATA ST,100,433,43300,X,
2011-09-01,L&T,5,1415,7075,X,
2011-08-11,TATA ST,,,720,DIV,
2011-08-11,ALOK,750,20,15000,,
2011-08-11,VOLTAS,150,129,19350,X,
2011-08-11,ALOK,1000,17.5,17500,X,
2011-08-11,GVK POWER,500,17.5,8750,,
2011-08-11,SAIL,150,110,16500,,
2011-08-16,TATA MOTORS,,,400,DIV,
2011-08-18,VOLTAS,,,300,DIV,
2011-08-26,TATA POW,,,125,DIV,
2011-08-11,SBI,100,192.9,19290,X,S1:10
2011-08-11,TATA POW,200,103.4,10340,,SPLIT 1:10
2011-08-09,M&M,,,403,DIV,
2011-08-05,TATA ST,,,720,DIV,
2011-08-01,CROM GREAVES,100,144.5,14450,,
2011-08-01,VOLTAS,100,114.5,11450,X,
2011-07-11,HDFC,,,324,DIV,
2011-07-26,LIC,,,350,DIV,
2011-07-29,BALRAM,,,62.25,DIV,
2011-07-06,HIND ZINC,,,380,DIV,
2011-06-29,AND BANK,,,1650,DIV,
2011-06-13,SBI,,,300,DIV,
2011-06-11,HINDAL,120,170,20400,,
2011-06-11,SAIL,150,136,20400,,
2011-06-01,AND BANK,,,1650,DIV,
2011-05-25,SBI,150,221,33150,X,S1:10
2011-05-18,GVK POWER,650,22.8,14820,,
2011-05-05,BHEL,50,398,19900,,SPLIT 1:5
2011-04-11,CROM GREAVES,,,60,DIV,
2011-02-28,M&M,35,600,21000,X,
2011-02-25,TATA POW,100,117,11700,,SPLIT 1:10
2011-02-24,POWERGRID,,,35,DIV,
2011-02-14,NTPC,,,531,DIV,
2011-02-14,CROM GREAVES,,,80,DIV,
2011-02-11,GVK POWER,500,30.5,15250,,
2011-02-05,VOLTAS,150,173,25950,X,
2011-01-28,SAIL,,,90,DIV,
2011-01-12,AND BANK,200,133,26600,X,
2011-01-01,CROM GREAVES,100,263,26300,X,
2010-12-08,AND BANK,100,147,14700,,
2010-11-25,NTPC,100,178,17800,,
2010-11-25,SATYAM,200,66,13200,X,
2010-11-11,POWERG,70,85.5,5985,,
2010-11-03,VOLTAS,50,248,12400,SOLD,
2010-11-03,VOLTAS,50,255,12750,SOLD,
